Address,Address - Zip Code,Listing Date,Listing Price,Pending Date,Price Per Sq Ft,Selling Date,Selling Price
"105 N Hutchins St Lodi, CA 95240-1918",95240,1/15/2009,325000,1/15/2009,134.41,2/24/2009,300000
"282 Mariner Ct Lodi, CA 95240-8875",95240,1/15/2009,200000,6/10/2009,123.92,7/29/2009,200000
"811 S California St Lodi, CA 95240-4622",95240,1/16/2009,200000,1/26/2009,148.7,4/3/2009,200000
"603 Huntington Dr Lodi, CA 95242-3557",95242,2/3/2009,180500,2/23/2009,115.82,4/6/2009,175000
"437 Concord St Lodi, CA 95240-5328",95240,2/6/2009,108000,2/9/2009,127.12,5/4/2009,150000
"1717 Amber Leaf Way Lodi, CA 95242-4411",95242,2/23/2009,164900,2/25/2009,144.05,4/13/2009,173000
"2911 Rosewood Dr Lodi, CA 95242-2027",95242,2/7/2009,333000,5/20/2009,178.19,6/17/2009,318250
"622 Hummingbird Dr Lodi, CA 95240-7893",95240,2/9/2009,209900,2/20/2009,149.29,3/27/2009,209900
"524 Sturla St Lodi, CA 95240-3915",95240,2/7/2009,159000,2/10/2009,127.1,3/20/2009,159000
"2630 Ponderosa Dr Lodi, CA 95242-8322",95242,2/9/2009,325000,4/27/2009,176.12,5/27/2009,295000
"1501 Mariposa Way Lodi, CA 95242-2532",95242,2/9/2009,188000,3/30/2009,181.82,6/1/2009,190000
"231 Dunsmuir Dr Lodi, CA 95240-6310",95240,2/16/2009,205000,3/16/2009,139.97,4/17/2009,215000
"1438 Vista Dr Lodi, CA 95242",95242,2/17/2009,199000,7/14/2009,154.5,8/5/2009,199000
"514 Willow Glen Dr Lodi, CA 95240-0512",95240,1/27/2009,299000,2/16/2009,163.71,3/23/2009,277000
"315 Mission St Lodi, CA 95240-5319",95240,1/28/2009,179900,2/3/2009,128.57,4/2/2009,180000
"116 Sierra Vista Pl Lodi, CA 95240",95240,1/28/2009,154000,2/10/2009,91.43,4/20/2009,160000
"2225 Newbury Cir Lodi, CA 95240-6614",95240,1/29/2009,159900,2/6/2009,112.86,3/9/2009,165000
"319 Raven Ln Lodi, CA 95240-7806",95240,1/30/2009,229900,2/6/2009,119.82,4/2/2009,240600
"701 Ribier Ave Lodi, CA 95240-5624",95240,1/30/2009,144900,2/2/2009,138.12,3/6/2009,150000
"115 Boxwood Ct Lodi, CA 95242-8343",95242,1/29/2009,283100,2/13/2009,156.08,4/2/2009,285000
"635 Sandpiper Cir Lodi, CA 95240-8802",95240,2/4/2009,172900,2/23/2009,120.4,4/17/2009,170000
"1620 Blackbird Pl Lodi, CA 95240-8888",95240,2/23/2009,254900,2/26/2009,99.73,3/26/2009,260000
"272 Mulberry Cir Lodi, CA 95240-7156",95240,3/12/2009,137900,4/16/2009,120.61,6/26/2009,134000
"18947 Chestnut St Woodbridge, CA 95258",95258,2/22/2009,170000,6/15/2010,106.78,7/20/2010,178000
"1812 Capell Dr Lodi, CA 95242-3101",95242,2/23/2009,134900,4/24/2009,132.58,6/4/2009,157500
"900 Downing Dr Lodi, CA 95242-3815",95242,2/25/2009,174900,6/10/2009,131.17,6/10/2009,194000
"2531 Bayberry Dr Lodi, CA 95242-4609",95242,3/2/2009,285000,3/13/2009,176.25,5/15/2009,285000
"1939 Chickadee St Lodi, CA 95240-8833",95240,2/27/2009,214500,3/30/2009,139.91,5/8/2009,197000
"2465 Inglewood Dr Lodi, CA 95242-9129",95242,3/3/2009,169900,5/4/2009,149.82,5/22/2009,169000
"1101 Bradford Cir Lodi, CA 95240-7037",95240,2/9/2009,238000,3/2/2010,125.94,4/14/2010,235000
"2179 Turtledove Ct Lodi, CA 95240-7863",95240,2/12/2009,232500,2/19/2009,160.03,4/23/2009,225000
"556 Carolina St Woodbridge, CA 95258-9753",95258,2/13/2009,349500,5/22/2009,146.87,6/29/2009,335000
"545 Sandpiper Cir Lodi, CA 95240",95240,3/4/2009,246000,6/30/2009,142.61,8/12/2009,246000
"615 W Oak St Lodi, CA 95240-3431",95240,3/4/2009,299000,5/15/2009,151.92,6/12/2009,285000
"1507 Centennial Dr Lodi, CA 95242",95242,2/16/2009,318000,2/20/2009,105.26,3/18/2009,300000
"808 Westwind Dr Lodi, CA 95242-3732",95242,2/17/2009,285000,5/6/2009,124.9,5/6/2009,310000
