"Address","Address - Zip Code","Listing Date","Listing Price","Pending Date","Price Per Sq Ft","Selling Date","Selling Price"
"8647 Alhambra Ave Stockton, CA 95212-2336","95212","06/30/12","450000","08/01/12","87.41","11/06/12","520000"
"10798 Chantel Ln Stockton, CA 95212-9220","95212","05/02/13","549000","05/14/13","167.68","07/16/13","549000"
"6170 Amande Ct Stockton, CA 95212-9423","95212","07/05/12","785000","11/16/12","180.15","12/17/12","735000"
"9000 Nassano Dr Stockton, CA 95212-2326","95212","10/21/13","389950","12/15/13","148.24","02/04/14","375777"
"6737 E Ashley Ln Stockton, CA 95212-9440","95212","08/09/12","499000","05/23/13","98.80","07/02/13","520000"
"8764 Walnut Acres Rd Stockton, CA 95212-1419","95212","10/24/13","419000","01/12/14","220.18","02/12/14","419000"
"8834 Hildreth Ln Stockton, CA 95212-9428","95212","08/24/12","649500","06/11/13","157.33","08/05/13","633250"
"4946 Eastview Dr Stockton, CA 95212-2100","95212","08/27/12","440000","12/09/12","158.55","01/25/13","410000"
"6200 Raymond Ct Stockton, CA 95212","95212","01/07/14","624950","04/17/14","145.99","06/10/14","580000"
"9840 Oakwilde Ave Stockton, CA 95212-2623","95212","03/11/14","799900","06/11/14","146.02","08/01/14","752000"
"9935 Hazel Rd Stockton, CA 95212-9433","95212","10/29/13","599900","02/12/14","95.28","03/14/14","585000"
"8957 Nassano Dr Stockton, CA 95212-2339","95212","10/30/13","350000","06/24/14","108.20","08/25/14","380000"
"8639 Walnut Acres Stockton, CA 95212","95212","06/13/14","499000","03/03/15","139.56","05/08/15","499900"
"5238 Franceen Ln, Stockton, CA 95212-2219","95212","04/08/15","371900","04/21/15","155.58","05/26/15","365000"
"8916 Hildreth Ln, Stockton, CA 95212-9487","95212","04/14/15","325000","04/27/15","258.89","05/29/15","345100"
"8427 Bennett Dr, Stockton, CA 95212","95212","04/17/15","387500","04/30/15","186.92","06/09/15","383000"
"6102 Roberta Ct, Stockton, CA 95212","95212","04/28/15","575000","09/01/15","127.70","09/16/15","550000"
"10725 Chantel Ln, Stockton, CA 95212","95212","04/29/15","755000","05/29/15","252.99","08/03/15","740000"
"9474 Trenton Way, Stockton, CA 95212-1622","95212","04/30/15","329000","05/14/15","165.77","06/30/15","340000"
"5860 E Acorn Ct, Stockton, CA 95212-2618","95212","04/30/15","895000","06/01/15","226.39","07/13/15","812500"
"6386 Mulberry Ln, Stockton, CA 95212-9417","95212","05/01/15","499500","05/27/15","144.30","07/14/15","485000"
"6753 Foppiano Ln, Stockton, CA 95212-9411","95212","05/11/15","675000","09/13/15","263.05","11/09/15","650000"
"6277 McFarland Rd, Stockton, CA 95212-9475","95212","05/13/15","692500","07/08/15","172.10","08/12/15","660000"
"8945 Hope Ln, Stockton, CA 95212-1512","95212","05/13/15","449900","08/06/15","181.86","09/18/15","425000"
"4646 E Morada Ln, Stockton, CA 95212-1613","95212","05/13/15","1999000","10/06/15","257.73","10/09/15","1800000"
"6409 E Morada Ln, Stockton, CA 95212-9419","95212","05/17/15","435000","07/18/15","212.18","08/28/15","425000"
"4604 Mosher Dr, Stockton, CA 95212-1707","95212","05/18/15","485000","10/15/15","208.06","12/02/15","470000"
"9529 Oakwilde Ave, Stockton, CA 95212-2625","95212","05/18/15","549900","08/31/15","202.13","10/27/15","475000"
"4603 Mosher Dr, Stockton, CA 95212-1704","95212","06/14/15","425000","06/20/15","154.71","07/23/15","425000"
"4660 Mosher, Stockton, CA 95212-1707","95212","06/25/15","535000","07/01/15","168.08","08/12/15","535000"
"9976 Hazel Rd, Stockton, CA 95212-9433","95212","06/25/15","399000","08/05/15","233.13","09/25/15","380000"
"4929 Hildreth Ln, Stockton, CA 95212-1408","95212","07/01/15","559000","11/05/15","181.38","01/20/16","559000"
"5209 Shippee Ln, Stockton, CA 95212-2212","95212","07/01/15","385000","07/15/15","175.16","08/12/15","385000"
"8903 Hilary, Stockton, CA 95212-1510","95212","07/24/15","364950","07/27/15","162.35","08/25/15","370000"
"5161 Los Cerritos Dr, Stockton, CA 95212","95212","07/24/15","579950","08/03/15","199.58","09/15/15","572000"
"10458 Chantel Ln, Stockton, CA 95212","95212","07/31/15","650000","09/04/15","206.53","10/21/15","595000"
"4704 Mosher Dr, Stockton, CA 95212-1719","95212","08/01/15","479900","01/19/16","189.27","02/19/16","455000"
"7808 Foppiano Ln, Stockton, CA 95212-9469","95212","08/04/15","530000","10/14/15","243.35","12/02/15","512000"
"4751 Tudor Rose Glen Rd, Stockton, CA 95212-9259","95212","09/01/15","819000","09/24/15","183.20","10/30/15","805000"
"5248 E Ashley Ln, Stockton, CA 95212","95212","09/20/15","336500","12/29/15","161.29","02/01/16","340000"
"9161 Hildreth Ln, Stockton, CA 95212-9422","95212","10/12/15","435000","02/03/16","227.04","04/06/16","435000"
"8755 Alhambra Ave, Stockton, CA 95212","95212","10/16/15","425000","12/01/15","202.74","02/29/16","400000"
"9429 Hickory Ave, Stockton, CA 95212-2403","95212","10/20/15","599950","06/16/16","196.77","07/27/16","585000"
"5045 E Morada Ln, Stockton, CA 95212","95212","10/18/15","544888","11/19/15","307.47","12/28/15","535000"
"5257 E Adahmore Ln, Stockton, CA 95212-2304","95212","10/27/15","475000","04/14/16","188.12","04/27/16","415000"
"9130 Alhambra Ave, Stockton, CA 95212-9429","95212","11/03/15","535000","11/24/15","171.28","01/08/16","532000"
"4702 Broughton Dr, Stockton, CA 95212-2004","95212","12/06/15","450000","06/10/16","199.03","07/25/16","450000"
"4638 Hildreth Ln, Stockton, CA 95212-1427","95212","12/11/15","387300","01/18/16","155.96","02/26/16","383814"
"5284 Black Oak Dr, Stockton, CA 95212-2532","95212","01/21/16","949500","03/26/16","191.86","05/06/16","949500"
"8830 Hildreth Ln, Stockton, CA 95212-9428","95212","01/21/16","774900","06/22/16","190.29","06/28/16","725000"
"5184 Los Cerritos Dr, Morada, CA 95212-9261","95212","01/20/16","995000","03/21/16","194.07","04/14/16","995000"
"10521 Oakwilde Ave, Stockton, CA 95212-9241","95212","01/31/16","1388500","02/01/16","223.99","04/15/16","1240000"
"9927 Oakwilde, Stockton, CA 9","9","12/22/15","568800","02/03/16","166.71","02/22/16","565800"
"4438 Mosher Dr, Stockton, CA 95212-1705","95212","02/10/16","489900","03/07/16","125.13","04/01/16","480000"
"9030 Frankford Ln, Stockton, CA 95212-2313","95212","02/13/16","529000","05/13/16","239.28","05/20/16","519000"
"6233 Mcfarland Rd, Stockton, CA 95212-9475","95212","02/16/16","660000","06/27/16","180.74","08/02/16","625000"
"8245 Bennett Dr, Stockton, CA 95212-2202","95212","02/22/16","374900","03/28/16","185.80","05/12/16","369000"
"9061 Nassano Dr, Stockton, CA 95212-2325","95212","02/23/16","539500","03/01/16","241.41","03/29/16","555000"
"9478 Oakwilde Ave, Stockton, CA 95212","95212","03/29/16","350250","04/11/16","181.31","05/25/16","355000"
"10399 Oakwilde Ave, Stockton, CA 95212-9230","95212","04/06/16","675000","06/15/16","215.59","08/05/16","650000"
"5263 SHIPPEE Ln, Stockton, CA 95212-2212","95212","04/14/16","389500","04/19/16","230.82","05/24/16","352000"
"8639 Walnut Acres Road, Stockton, CA 95212-1416","95212","04/22/16","598000","04/30/16","159.13","06/27/16","570000"
"7200 E Eight Mile Rd, Stockton, CA 95212-9444","95212","04/27/16","409900","05/01/16","268.82","05/26/16","425000"
"8642 Walnut Acres Rd, Stockton, CA 95212-1417","95212","05/02/16","450000","08/03/16","168.93","10/05/16","435000"
"9155 Hildreth Ln, Stockton, CA 95212-9422","95212","05/03/16","649950","07/14/16","219.45","08/19/16","605250"
"10212 Garnet Ave, Stockton, CA 95212-2106","95212","05/05/16","414950","06/08/16","198.07","07/22/16","414950"
"8945 Hildreth Ln, Stockton, CA 95212-9487","95212","05/17/16","499900","05/31/16","243.19","08/02/16","500000"
"5412 Hildreth Ln, Stockton, CA 95212-2324","95212","05/23/16","595000","06/18/16","244.68","08/24/16","575000"
"4642 Mosher Dr, Stockton, CA 95212","95212","05/27/16","479000","09/13/16","188.36","10/13/16","479000"
"9645 Alhambra Ave, Stockton, CA 95212-2616","95212","05/27/16","629000","06/03/16","206.65","07/08/16","637500"
"4929 Franco Ave, Stockton, CA 95212-1909","95212","06/08/16","499950","08/09/16","178.83","09/27/16","478000"
"9493 Trenton Way, Stockton, CA 95212-1621","95212","06/09/16","489000","07/23/16","202.65","08/24/16","475000"
"5801 E Acorn Ct, Stockton, CA 95212-2601","95212","06/14/16","815000","10/31/16","214.65","12/16/16","800000"
"8427 Treasure Ave, Stockton, CA 95212-1925","95212","06/28/16","356000","09/25/16","225.22","11/03/16","359000"
"6407 Mulberry Ln, Stockton, CA 95212-9417","95212","07/13/16","431500","07/14/16","198.85","07/22/16","431500"
"10615 Oakwilde Ave, Stockton, CA 95212-9243","95212","07/18/16","949999","07/25/16","201.64","08/24/16","910000"
"9751 Hildreth, Stockton, CA 95212","95212","07/19/16","779000","07/23/16","287.10","09/27/16","770000"
"8655 Treasure Ave, Stockton, CA 95212-1414","95212","08/04/16","499000","09/30/16","179.37","12/09/16","499000"
"9100 Jonathon Ct, Stockton, CA 95212-1425","95212","08/18/16","959000","12/22/16","180.64","12/22/16","875000"
"4525 Hildreth Ln, Stockton, CA 95212-1406","95212","10/18/16","393000","10/24/16","272.13","11/16/16","455000"
"7808 Foppiano Ln, Stockton, CA 95212","95212","12/06/16","549950","12/11/16","254.04","12/16/16","534500"
